running pipelined_tree w/ n=2 and ppn=1

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
2048                   27.23
4096                   29.61
8192                   32.44
16384                  39.70
32768                  50.97
65536                  66.54
131072                 83.10
262144                139.50
524288                231.59
1048576               393.81
 
running scatter_recursive_doubling_allgather w/ n=2 and ppn=48

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      15.71
2                      14.43
4                      14.14
8                      14.24
16                     14.65
32                     17.19
64                     18.85
128                    19.02
256                    20.04
512                    22.06
1024                   28.57
2048                   31.75
4096                   34.38
8192                   37.70
16384                  47.08
32768                  61.20
65536                  81.88
131072                107.02
262144                189.45
524288                310.84
1048576               555.75
 
running scatter_recursive_doubling_allgather w/ n=2 and ppn=96

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.77
2                      17.53
4                      16.95
8                      16.93
16                     17.11
32                     17.54
64                     20.20
128                    23.47
256                    25.20
512                    26.24
1024                   33.15
2048                   35.45
4096                   38.98
8192                   42.44
16384                  53.37
32768                  72.20
65536                 103.45
131072                150.04
262144                268.82
524288                484.32
1048576               925.11
 
running scatter_recursive_doubling_allgather w/ n=3 and ppn=1

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.53
2                       8.56
4                       8.39
8                       9.50
16                      9.47
32                      9.49
64                      9.53
128                     9.66
256                     9.97
512                    12.49
1024                   17.21
2048                   17.55
4096                   19.01
8192                   21.00
16384                  30.22
32768                  32.01
65536                  34.89
131072                 40.47
262144                 51.38
524288                 72.42
1048576               114.15
 
running scatter_recursive_doubling_allgather w/ n=3 and ppn=12

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      16.88
2                      16.31
4                      16.16
8                      16.33
16                     18.21
32                     22.42
64                     22.53
128                    22.48
256                    25.10
512                    28.73
1024                   29.36
2048                   40.76
4096                   43.80
8192                   47.31
16384                  54.66
32768                  61.62
65536                  83.07
131072                108.28
262144                143.38
524288                259.16
1048576               416.62
 
running scatter_recursive_doubling_allgather w/ n=3 and ppn=48

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      21.72
2                      20.45
4                      20.30
8                      20.37
16                     20.40
32                     20.63
64                     21.73
128                    27.01
256                    29.09
512                    31.52
1024                   33.86
2048                   37.63
4096                   46.28
8192                   52.75
16384                  67.02
32768                  71.55
65536                  96.59
131072                133.95
262144                195.22
524288                358.62
1048576               610.70
 
running scatter_recursive_doubling_allgather w/ n=3 and ppn=96

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      25.82
2                      23.78
4                      23.46
8                      23.23
16                     23.14
32                     23.18
64                     24.60
128                    27.08
256                    34.99
512                    37.57
1024                   39.03
2048                   41.51
4096                   53.03
8192                   59.51
16384                  74.09
32768                 132.75
65536                 125.34
131072                187.03
262144                305.61
524288                692.53
1048576              1271.39
 
running scatter_recursive_doubling_allgather w/ n=4 and ppn=1

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.47
2                       8.64
4                      10.28
8                      10.28
16                     10.32
32                     10.33
64                     10.36
128                    10.34
256                    11.41
512                    14.08
1024                   15.20
2048                   15.52
4096                   16.05
8192                   16.36
16384                  21.82
32768                  28.37
65536                  30.54
131072                 34.95
262144                 43.69
524288                 60.57
1048576                94.29
 
running scatter_recursive_doubling_allgather w/ n=4 and ppn=12

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      15.11
2                      14.51
4                      14.45
8                      14.76
16                     16.82
32                     19.51
64                     19.52
128                    20.60
256                    20.87
512                    23.33
1024                   30.63
2048                   33.74
4096                   37.30
8192                   41.92
16384                  52.73
32768                  60.25
65536                  71.87
131072                 91.25
262144                115.74
524288                192.93
1048576               325.93
 
running scatter_recursive_doubling_allgather w/ n=4 and ppn=48

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      20.00
2                      18.62
4                      18.49
8                      18.59
16                     18.66
32                     20.12
64                     22.32
128                    26.21
256                    28.56
512                    29.70
1024                   37.42
2048                   40.03
4096                   43.60
8192                   47.77
16384                  60.70
32768                  71.02
65536                  86.45
131072                117.15
262144                169.44
524288                302.23
1048576               541.62
 
running scatter_recursive_doubling_allgather w/ n=4 and ppn=96

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      24.88
2                      21.90
4                      21.64
8                      21.59
16                     21.43
32                     21.85
64                     23.67
128                    26.11
256                    33.15
512                    35.34
1024                   42.12
2048                   45.12
4096                   49.28
8192                   53.71
16384                  69.74
32768                  84.04
65536                 110.89
131072                161.40
262144                267.63
524288                587.48
1048576              1120.06
 
running binomial w/ n=2 and ppn=1

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.52
2                       1.50
4                       1.50
8                       1.52
16                      1.50
32                      1.50
64                      1.53
128                     1.95
256                     4.35
512                     4.42
1024                    4.54
2048                    4.74
4096                    4.83
8192                    7.87
16384                   8.23
32768                   8.86
65536                  10.33
131072                 13.07
262144                 18.56
524288                 29.37
1048576                50.95
 
running binomial w/ n=2 and ppn=12

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.68
2                       3.66
4                       3.57
8                       3.58
16                      3.57
32                      3.58
64                      3.62
128                     4.09
256                     7.67
512                     8.30
1024                    8.72
2048                    9.58
4096                   10.69
8192                   16.66
16384                  29.43
32768                  38.10
65536                  45.04
131072                 72.98
262144                123.98
524288                231.28
1048576               445.11
 
running binomial w/ n=2 and ppn=48

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.52
2                       5.46
4                       5.29
8                       5.24
16                      5.23
32                      5.23
64                      5.58
128                     6.19
256                     9.49
512                    10.08
1024                   10.72
2048                   11.85
4096                   13.70
8192                   20.65
16384                  39.70
32768                  53.32
65536                  65.38
131072                105.98
262144                188.94
524288                360.35
1048576               699.13
 
running binomial w/ n=2 and ppn=96

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.45
2                       5.42
4                       5.47
8                       5.47
16                      5.40
32                      5.40
64                      5.59
128                     6.13
256                     9.53
512                    10.78
1024                   11.82
2048                   13.47
4096                   16.28
8192                   25.00
16384                  51.43
32768                  69.43
65536                  82.95
131072                139.89
