running ring w/ n=10 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4096                   58.78
8192                   72.80
16384                 107.69
32768                 172.15
65536                 270.41
131072                371.87
262144                423.49
524288                761.75
1048576              1255.71
 
running circ_vring w/ n=10 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.55
8                      27.48
16                     27.57
32                     27.38
64                     27.63
128                    29.16
256                    41.80
512                    42.15
1024                   42.91
2048                   45.89
4096                   51.80
8192                   91.67
16384                 146.58
32768                 213.16
65536                 305.17
131072               1352.60
262144               2610.72
524288               5434.66
1048576             11605.71
 
running circ_rrs_ag w/ n=10 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      40.91
8                      41.87
16                     44.02
32                     46.39
64                     49.34
128                    55.33
256                    64.81
512                    78.86
1024                  134.84
2048                  224.47
4096                  158.38
8192                  142.89
16384                 155.31
32768                 170.15
65536                 200.32
131072                466.55
262144               1018.59
524288               2393.49
1048576              4846.82
 
running circ_rs_ag w/ n=10 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      39.12
8                      40.11
16                     41.83
32                     44.18
64                     46.21
128                    49.99
256                    56.22
512                    61.71
1024                   83.63
2048                  143.88
4096                  124.76
8192                   84.67
16384                  94.24
32768                 121.03
65536                 142.95
131072                200.93
262144                303.10
524288                534.67
1048576               970.82
 
running ring w/ n=10 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                    2740.93
8                    2773.10
16                   2770.76
32                   2765.90
64                   2767.58
128                  2815.55
256                  2882.58
512                  3042.77
1024                 3351.95
2048                 3821.19
4096                 3814.11
8192                 4232.51
16384                4552.60
32768                4818.00
65536                4778.63
131072               4793.30
262144               9186.75
524288              10664.39
1048576             13285.96
 
running recursive_doubling w/ n=10 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      31.23
8                      30.41
16                     30.28
32                     30.02
