running ring w/ n=10 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
65536                6226.41
131072               6334.07
262144              11753.83
524288              12279.26
1048576             13007.81
 
running recursive_doubling w/ n=13 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      34.19
8                      33.64
16                     32.64
32                     32.77
64                     33.33
128                    34.73
256                    40.57
512                    45.79
1024                   53.72
2048                   65.44
4096                   68.55
8192                  106.82
16384                 212.82
32768                 313.90
65536                 729.64
131072               1303.17
262144               2198.55
524288               4553.14
1048576              8410.98
 
running reduce_scatter_allgather w/ n=13 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      34.24
8                      33.43
16                     32.96
32                     32.83
64                     33.03
128                    34.84
256                    40.77
512                    46.74
1024                   53.00
2048                   61.61
4096                   78.12
8192                   81.21
16384                 100.22
32768                 131.52
65536                 203.72
131072                329.90
262144                445.31
524288                966.87
1048576              1675.74
 
running circ_vring w/ n=13 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      38.72
8                      37.83
16                     38.23
32                     37.30
64                     37.63
128                    43.74
256                    56.32
512                    59.41
1024                   67.84
2048                   75.52
4096                   79.89
8192                  134.82
16384                 248.29
32768                 396.78
65536                 646.23
131072               2633.81
262144               5379.68
524288              11542.90
1048576             24201.48
 
running circ_rrs_ag w/ n=13 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      57.10
8                      59.84
16                     62.67
32                     66.41
64                     70.18
128                    78.24
256                    91.55
512                   136.00
1024                  302.16
2048                  513.56
4096                  631.35
8192                  384.48
16384                 371.07
32768                 439.22
65536                 452.19
131072               1101.14
262144               2323.24
524288               5385.46
1048576             11183.56
 
running circ_rs_ag w/ n=13 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      53.30
8                      54.28
16                     57.96
32                     60.91
64                     63.20
128                    68.36
256                    75.51
512                   104.19
1024                  218.95
2048                  382.96
4096                  422.88
8192                  140.47
16384                 157.09
32768                 175.98
65536                 239.74
131072                388.10
262144                674.94
524288               1217.20
1048576              2267.13
 
running ring w/ n=14 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     437.83
8                     437.77
16                    440.11
32                    449.33
64                    466.93
128                   499.40
256                   555.41
512                   660.98
1024                  661.05
2048                  659.40
4096                  699.00
8192                  722.46
16384                 739.14
32768                1410.63
65536                1437.83
131072               1482.18
262144               1569.34
524288               1669.73
1048576              2876.14
 
running recursive_doubling w/ n=14 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      21.85
8                      21.30
16                     21.25
32                     21.29
64                     21.62
128                    23.29
256                    29.34
512                    31.68
1024                   32.81
2048                   34.72
4096                   38.85
8192                   62.44
16384                  89.52
32768                 119.34
65536                 213.91
131072                343.66
262144                633.09
524288               1255.78
1048576              2304.03
 
running reduce_scatter_allgather w/ n=14 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      21.90
8                      21.21
16                     21.13
32                     21.16
64                     21.34
128                    23.19
256                    29.23
512                    41.10
1024                   46.08
2048                   47.29
4096                   58.89
8192                   66.62
16384                  85.28
32768                 154.27
65536                 174.18
131072                311.66
262144                347.94
524288                548.82
1048576               911.43
 
running circ_vring w/ n=14 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      24.09
8                      23.44
16                     23.59
32                     23.48
64                     23.61
128                    25.15
256                    37.81
512                    37.39
1024                   42.80
2048                   41.69
4096                   45.37
8192                   77.59
16384                 107.59
32768                 152.15
65536                 219.53
131072                572.29
262144               1107.00
524288               2332.23
1048576              4577.48
 
running circ_rrs_ag w/ n=14 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      33.60
8                      35.61
16                     38.61
32                     41.37
64                     44.13
128                    50.43
256                    57.08
512                    68.39
1024                   78.90
2048                  114.63
4096                   99.75
8192                   88.43
16384                 100.65
32768                 117.33
65536                 130.63
131072                223.78
262144                450.31
524288               1051.21
1048576              2012.04
 
running circ_rs_ag w/ n=14 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      32.81
8                      34.72
16                     37.39
32                     39.58
64                     41.76
128                    45.30
256                    48.39
512                    50.74
1024                   62.33
2048                   98.82
4096                   78.03
8192                   69.08
16384                  81.80
32768                  98.44
65536                 111.82
131072                139.88
262144                195.26
524288                274.04
1048576               433.47
 
running ring w/ n=14 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      57.23
8                      62.07
16                     68.73
32                     77.98
64                     78.06
128                    82.49
256                    85.08
512                    85.51
1024                   87.76
2048                   96.87
4096                  129.73
8192                  131.12
16384                 152.12
32768                 154.07
65536                 242.81
131072                262.98
262144                305.51
524288                507.44
1048576               771.50
 
running recursive_doubling w/ n=14 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      15.36
8                      15.32
16                     15.30
32                     15.31
64                     15.24
128                    16.91
256                    21.89
512                    22.49
1024                   24.41
2048                   25.51
4096                   27.50
8192                   46.81
16384                  56.00
32768                  72.81
65536                 104.47
131072                156.18
262144                208.08
524288                377.06
1048576               738.48
 
running reduce_scatter_allgather w/ n=14 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      15.54
8                      15.36
16                     15.34
32                     26.19
64                     26.18
128                    26.69
256                    30.16
512                    32.44
1024                   35.83
2048                   38.36
4096                   40.60
8192                   47.94
16384                  59.80
32768                  77.17
65536                 102.77
131072                142.63
262144                195.20
524288                303.57
1048576               520.80
 
running circ_vring w/ n=14 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      16.00
8                      15.53
16                     15.57
32                     15.60
64                     15.67
128                    16.79
256                    21.30
512                    21.93
1024                   22.81
2048                   24.63
4096                   26.58
8192                   44.52
16384                  54.80
32768                  71.61
65536                 106.14
131072                204.42
262144                368.48
524288                721.97
1048576              1505.77
 
running circ_rrs_ag w/ n=14 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      19.70
8                      22.97
16                     26.22
32                     28.57
64                     29.91
128                    30.10
256                    30.47
512                    34.30
1024                   36.46
2048                   42.19
4096                   42.33
8192                   50.35
16384                  52.40
32768                  71.39
65536                  87.90
131072                148.63
262144                230.20
524288                572.70
1048576               998.96
 
running circ_rs_ag w/ n=14 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      19.63
8                      23.11
16                     26.04
32                     27.85
64                     30.74
128                    30.78
256                    31.14
512                    33.35
1024                   37.77
2048                   42.94
4096                   41.97
8192                   48.39
16384                  53.82
32768                  72.04
65536                  99.55
131072                112.78
262144                158.68
524288                223.23
1048576               347.45
 
running ring w/ n=14 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                    1739.54
8                    1770.51
16                   1757.42
32                   1759.48
64                   1774.42
128                  1809.74
256                  1879.53
512                  2022.05
1024                 2242.83
2048                 2715.14
4096                 2715.46
8192                 2718.39
16384                2875.73
32768                2989.04
65536                3033.17
131072               6061.43
262144               5984.68
524288               6191.04
1048576              6555.30
 
running recursive_doubling w/ n=14 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.19
8                      27.09
16                     27.55
32                     27.07
64                     27.44
128                    28.96
256                    34.43
512                    37.98
1024                   39.25
2048                   42.79
4096                   48.47
8192                   78.25
16384                 135.23
32768                 198.08
65536                 391.61
131072                635.26
262144               1294.69
524288               2420.96
1048576              4257.84
 
running reduce_scatter_allgather w/ n=14 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.07
8                      27.41
16                     27.79
32                     27.20
64                     27.84
128                    29.23
256                    34.91
512                    38.32
1024                   40.10
2048                   57.57
4096                   60.24
8192                   72.59
16384                  88.04
32768                 153.31
65536                 185.00
131072                250.57
262144                474.13
524288                704.69
1048576              1255.90
 
running circ_vring w/ n=14 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      31.40
8                      30.73
16                     31.10
32                     30.57
64                     30.77
128                    32.30
256                    48.70
512                    47.00
1024                   47.60
2048                   51.30
4096                   58.83
8192                  101.83
16384                 161.80
32768                 237.29
65536                 363.88
131072               1181.47
262144               2511.36
524288               5476.60
1048576             11734.89
 
running circ_rrs_ag w/ n=14 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      43.98
8                      45.89
16                     48.59
32                     50.74
64                     53.83
128                    59.84
256                    71.20
512                    84.75
1024                  175.07
2048                  283.51
4096                  220.94
8192                  177.21
16384                 190.84
32768                 205.61
65536                 233.71
131072                486.46
262144               1068.80
524288               2421.43
1048576              4925.89
 
running circ_rs_ag w/ n=14 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      42.54
8                      43.63
16                     45.87
32                     48.08
64                     50.11
128                    54.44
256                    61.20
512                    69.44
1024                  101.58
2048                  149.80
4096                  216.98
8192                   86.91
16384                 102.29
32768                 120.79
65536                 152.66
131072                208.96
262144                310.20
524288                530.95
1048576               983.16
 
running ring w/ n=14 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                    3838.79
8                    3871.30
16                   3830.53
32                   3864.20
64                   3884.15
128                  3907.37
256                  4024.51
512                  4250.52
1024                 4589.65
2048                 5109.01
4096                 6116.66
8192                 6110.74
16384                6123.71
32768                6476.02
65536                6718.41
131072               6813.61
262144              12677.46
524288              13511.51
1048576             13955.78
 
running recursive_doubling w/ n=14 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      36.04
8                      33.91
16                     33.52
32                     33.69
64                     33.63
128                    35.83
256                    41.30
512                    54.24
1024                   53.24
2048                   66.45
4096                   76.63
8192                  109.14
16384                 197.64
32768                 304.15
65536                 634.50
131072               1293.76
262144               2158.81
524288               4464.51
1048576              8311.56
 
running reduce_scatter_allgather w/ n=14 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      35.02
8                      34.01
16                     34.07
32                     34.00
64                     33.70
128                    35.64
256                    41.63
512                    49.35
1024                   55.77
2048                   60.59
4096                   77.04
8192                   85.42
16384                 101.59
32768                 142.99
65536                 199.14
131072                328.00
262144                447.72
524288                844.60
1048576              1710.08
 
running circ_vring w/ n=14 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      38.68
8                      38.27
16                     37.82
32                     37.87
64                     37.87
128                    43.97
256                    56.51
512                    57.88
1024                   69.50
2048                   78.60
4096                   85.58
8192                  133.55
16384                 253.54
32768                 395.09
65536                 606.09
131072               2487.88
262144               5226.25
524288              11119.42
1048576             23507.22
 
running circ_rrs_ag w/ n=14 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      57.72
8                      60.00
16                     62.78
32                     65.91
64                     70.01
128                    78.82
256                    91.04
512                   129.46
1024                  233.23
2048                  549.66
4096                  691.83
8192                  405.66
16384                 386.38
32768                 441.08
65536                 494.31
131072               1064.51
262144               2346.95
524288               5487.10
1048576             11259.81
 
running circ_rs_ag w/ n=14 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      53.40
8                      54.61
16                     57.52
32                     59.81
64                     62.12
128                    67.36
256                    74.76
512                   104.57
1024                  178.41
2048                  383.04
4096                  495.90
8192                  168.83
16384                 144.81
32768                 196.89
65536                 240.38
131072                405.47
262144                658.06
524288               1232.18
1048576              2181.30
 
running ring w/ n=15 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     466.09
8                     471.36
16                    471.52
32                    479.94
64                    496.92
128                   530.91
256                   592.30
512                   689.26
1024                  691.61
2048                  773.80
4096                  773.76
8192                  774.94
16384                 796.79
32768                 799.78
65536                1530.12
131072               1586.25
262144               1675.19
524288               1787.20
1048576              3048.33
 
running recursive_doubling w/ n=15 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      22.26
8                      21.69
16                     21.61
32                     21.62
64                     21.93
128                    23.72
256                    29.36
512                    31.39
1024                   32.81
2048                   34.80
4096                   38.25
8192                   63.14
16384                  89.27
32768                 122.08
65536                 222.09
131072                352.48
262144                647.80
524288               1266.34
1048576              2373.56
 
running reduce_scatter_allgather w/ n=15 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      22.06
8                      21.55
16                     21.54
32                     21.59
64                     21.79
128                    23.61
256                    29.33
512                    42.06
1024                   45.83
2048                   48.99
4096                   56.56
8192                   70.77
16384                  97.58
32768                 162.54
65536                 222.97
131072                266.63
262144                431.86
524288                571.27
1048576              1049.18
 
running circ_vring w/ n=15 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      24.29
8                      23.77
16                     23.85
32                     23.80
64                     23.99
128                    25.45
256                    37.46
512                    39.23
1024                   40.72
2048                   41.40
4096                   45.02
8192                   77.23
16384                 105.65
32768                 148.96
65536                 211.49
131072                644.93
262144               1320.49
524288               2715.50
1048576              5415.27
 
running circ_rrs_ag w/ n=15 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      34.08
8                      36.11
16                     38.79
32                     41.62
64                     44.12
128                    49.10
256                    56.08
512                    66.54
1024                   85.75
2048                  112.93
4096                   92.77
8192                   90.86
16384                 101.23
32768                 109.70
65536                 132.41
131072                231.83
262144                450.12
524288               1063.32
1048576              1980.10
 
running circ_rs_ag w/ n=15 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      33.36
8                      34.86
16                     37.28
32                     39.97
64                     41.63
128                    44.74
256                    47.66
512                    50.31
1024                   67.23
2048                   94.34
4096                   67.81
8192                   70.40
16384                  81.52
32768                  90.75
65536                 111.78
131072                145.89
262144                196.38
524288                275.29
1048576               436.25
 
running ring w/ n=15 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      61.48
8                      67.65
16                     74.56
32                     83.69
64                     83.69
128                    88.15
256                    91.54
512                    96.02
1024                   95.96
2048                  105.02
4096                  136.25
8192                  138.40
16384                 145.35
32768                 160.88
65536                 271.27
131072                271.91
262144                313.17
524288                455.66
1048576               784.04
 
running recursive_doubling w/ n=15 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      15.73
8                      15.22
16                     15.25
32                     15.23
64                     15.18
128                    16.71
256                    22.03
512                    22.76
1024                   23.86
2048                   25.50
4096                   27.24
8192                   47.16
16384                  57.40
32768                  76.74
65536                 113.07
131072                155.27
262144                223.68
524288                394.37
1048576               744.12
 
running reduce_scatter_allgather w/ n=15 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      15.43
8                      15.38
16                     15.41
32                     26.01
64                     25.91
128                    26.35
256                    30.29
512                    32.61
1024                   35.83
2048                   39.61
4096                   40.10
8192                   49.18
16384                  59.79
32768                  75.64
65536                 102.46
131072                151.93
262144                210.70
524288                306.84
1048576               533.23
 
running circ_vring w/ n=15 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      15.04
8                      14.94
16                     14.96
32                     14.99
64                     15.06
128                    16.20
256                    20.97
512                    21.56
1024                   22.44
2048                   24.29
4096                   26.87
8192                   44.00
16384                  54.66
32768                  75.47
65536                 109.91
131072                222.58
262144                373.13
524288                736.47
1048576              1530.66
 
running circ_rrs_ag w/ n=15 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      19.50
8                      22.46
16                     25.54
32                     28.31
64                     30.01
128                    30.25
256                    30.63
512                    34.39
1024                   36.38
2048                   40.41
4096                   41.02
8192                   42.63
16384                  59.68
32768                  72.82
65536                  90.22
131072                145.35
262144                266.30
524288                563.10
1048576              1021.65
 
running circ_rs_ag w/ n=15 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      19.37
8                      22.12
16                     24.88
32                     27.07
64                     30.03
128                    30.08
256                    30.40
512                    32.35
1024                   37.29
2048                   40.47
4096                   42.33
8192                   42.92
16384                  58.06
32768                  70.82
65536                  87.87
131072                117.59
262144                155.21
524288                224.26
1048576               339.37
 
running ring w/ n=15 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                    1852.44
8                    1884.58
16                   1869.44
32                   1871.06
64                   1889.26
128                  1925.56
256                  2003.77
512                  2154.99
1024                 2408.70
2048                 2856.83
4096                 2852.46
8192                 3218.49
16384                3226.48
32768                3227.27
65536                3294.87
131072               3293.91
262144               6431.69
524288               6615.40
1048576              7129.87
 
running recursive_doubling w/ n=15 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.02
8                      27.30
16                     27.62
32                     27.12
64                     27.32
128                    29.15
256                    34.53
512                    37.63
1024                   40.42
2048                   43.06
4096                   49.16
8192                   79.07
16384                 132.73
32768                 189.21
65536                 342.18
131072                624.32
262144               1296.24
524288               2454.29
1048576              4296.68
 
running reduce_scatter_allgather w/ n=15 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.06
8                      27.30
16                     27.40
32                     27.34
64                     27.50
128                    29.16
256                    34.55
512                    37.26
1024                   40.90
2048                   56.10
4096                   61.97
8192                   68.12
16384                  89.88
32768                 128.94
65536                 173.67
131072                328.29
262144                451.51
524288                657.71
1048576              1284.40
 
running circ_vring w/ n=15 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      31.58
8                      30.70
16                     31.15
32                     30.37
64                     30.78
128                    32.27
256                    52.26
512                    46.97
1024                   48.18
2048                   51.93
4096                   59.08
8192                  103.16
16384                 164.04
32768                 238.60
65536                 359.88
131072               1285.00
262144               2588.86
524288               5393.14
1048576             11578.19
 
running circ_rrs_ag w/ n=15 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      45.91
8                      47.03
16                     49.40
32                     51.96
64                     55.59
128                    60.16
256                    71.98
512                    90.02
1024                  149.41
2048                  294.00
4096                  228.99
8192                  186.48
16384                 195.75
32768                 213.02
65536                 241.45
131072                497.06
262144               1036.30
524288               2475.23
1048576              4987.87
 
running circ_rs_ag w/ n=15 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      43.67
8                      45.02
16                     47.49
32                     49.59
64                     52.17
128                    55.58
256                    62.45
512                    70.03
1024                  116.31
2048                  169.15
4096                  193.98
8192                   90.41
16384                 102.93
32768                 121.31
65536                 153.49
131072                197.43
262144                312.43
524288                542.11
1048576               974.17
 
running ring w/ n=15 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                    4154.05
8                    4180.96
16                   4173.58
32                   4160.57
64                   4169.10
128                  4182.41
256                  4264.79
512                  4394.90
1024                 4775.72
2048                 5399.34
4096                 6400.37
8192                 6418.48
16384                7292.81
32768                7228.36
65536                7219.04
131072               7377.63
262144               7416.83
524288              14398.87
1048576             15360.62
 
running recursive_doubling w/ n=15 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      35.67
8                      34.56
16                     34.36
32                     34.29
64                     34.16
128                    35.94
256                    41.64
512                    47.80
1024                   55.82
2048                   66.62
4096                   67.66
8192                  111.69
16384                 239.49
32768                 365.93
65536                 681.52
131072               1348.51
262144               2234.00
524288               4539.10
1048576              8332.91
 
running reduce_scatter_allgather w/ n=15 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      35.11
8                      34.55
16                     33.97
32                     33.83
64                     34.16
128                    36.33
256                    41.88
512                    47.87
1024                   60.78
2048                   64.01
4096                   78.95
8192                   86.57
16384                 108.05
32768                 148.92
65536                 194.47
131072                291.78
262144                423.96
524288                863.40
1048576              1663.41
 
running circ_vring w/ n=15 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      39.95
8                      38.30
16                     38.17
32                     38.05
64                     38.68
128                    42.47
256                    59.07
512                    58.60
1024                   68.19
2048                   75.24
4096                   79.04
8192                  136.18
16384                 254.99
32768                 394.20
65536                 632.49
131072               2676.89
262144               5624.12
524288              12033.14
1048576             25388.39
 
running circ_rrs_ag w/ n=15 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      59.68
8                      61.56
16                     64.44
32                     67.87
64                     71.89
128                    80.06
256                    91.94
512                   139.65
1024                  319.98
2048                  502.36
4096                  699.79
8192                  423.91
16384                 405.75
32768                 431.08
65536                 536.85
131072               1087.75
262144               2357.37
524288               5527.37
1048576             11403.74
 
running circ_rs_ag w/ n=15 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      52.98
8                      55.27
16                     58.37
32                     60.37
64                     62.66
128                    67.79
256                    74.96
512                   107.46
1024                  227.36
2048                  385.79
4096                  515.77
8192                  145.22
16384                 193.52
32768                 187.16
65536                 240.04
131072                383.59
262144                596.76
524288               1155.97
1048576              2186.74
 
running ring w/ n=16 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     507.05
8                     511.28
16                    511.80
32                    519.26
64                    538.64
128                   576.16
256                   636.71
512                   728.63
1024                  729.80
2048                  807.05
4096                  805.59
8192                  840.87
16384                 845.17
32768                 857.08
65536                2739.01
131072               2809.52
262144               2899.89
524288               3029.20
1048576              5412.64
 
running recursive_doubling w/ n=16 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      30.96
8                      30.63
16                     30.60
32                     30.71
64                     30.77
128                    32.87
256                    46.14
512                    47.90
1024                   49.26
2048                   50.61
4096                   53.99
8192                   95.72
16384                 117.85
32768                 144.73
65536                 225.23
131072                354.56
262144                633.63
524288               1227.08
1048576              2296.24
 
running reduce_scatter_allgather w/ n=16 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      31.30
8                      30.76
16                     30.71
32                     30.82
64                     31.03
128                    32.91
256                    46.22
512                    59.12
1024                   62.82
2048                   69.08
4096                   76.70
8192                   93.47
16384                 106.95
32768                 152.99
65536                 235.20
131072                346.18
262144                406.55
524288                644.26
1048576               981.29
 
running circ_vring w/ n=16 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      33.52
8                      32.99
16                     33.07
32                     32.97
64                     33.13
128                    34.58
256                    50.24
512                    56.09
1024                   57.42
2048                   56.22
4096                   60.88
8192                  114.51
16384                 135.14
32768                 178.63
65536                 235.76
131072                647.37
262144               1288.00
524288               2608.85
1048576              5258.69
 
running circ_rrs_ag w/ n=16 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      46.67
8                      48.24
16                     50.59
32                     54.04
64                     56.32
128                    61.37
256                    70.40
512                    83.15
1024                   96.71
2048                  117.62
4096                  143.60
8192                  137.36
16384                 146.41
32768                 166.58
65536                 200.47
131072                298.99
262144                521.56
524288               1095.98
1048576              2020.87
 
running circ_rs_ag w/ n=16 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      46.55
8                      47.86
16                     49.65
32                     52.73
64                     53.76
128                    57.03
256                    61.81
512                    66.33
1024                   73.59
2048                   82.06
4096                  124.62
8192                  108.87
16384                 124.26
32768                 143.60
65536                 175.34
131072                215.99
262144                269.33
524288                344.71
1048576               513.98
 
running ring w/ n=16 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      69.69
8                      76.02
16                     83.56
32                     93.73
64                    105.68
128                   105.69
256                   105.84
512                   105.87
1024                  105.11
2048                  115.63
4096                  203.54
8192                  206.10
16384                 228.75
32768                 218.27
65536                 233.70
131072                445.07
262144                477.03
524288                575.27
1048576               953.04
 
running recursive_doubling w/ n=16 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      16.65
8                      16.14
16                     16.15
32                     16.21
64                     16.27
128                    17.16
256                    22.97
512                    23.54
1024                   25.26
2048                   25.83
4096                   27.81
8192                   49.92
16384                  57.02
32768                  72.71
65536                 102.20
131072                148.86
262144                206.21
524288                370.68
1048576               724.71
 
running reduce_scatter_allgather w/ n=16 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      16.27
8                      16.16
16                     16.20
32                     16.27
64                     33.06
128                    33.12
256                    33.39
512                    36.96
1024                   41.55
2048                   47.17
4096                   55.14
8192                   53.53
16384                  64.97
32768                  79.67
65536                 101.76
131072                131.52
262144                174.63
524288                248.74
1048576               378.35
 
running circ_vring w/ n=16 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      16.45
8                      16.26
16                     16.34
32                     16.37
64                     16.41
128                    17.64
256                    23.94
512                    24.50
1024                   26.26
2048                   27.30
4096                   31.18
8192                   52.01
16384                  61.41
32768                  79.27
65536                 111.84
131072                216.30
262144                381.58
524288                754.22
1048576              1570.11
 
running circ_rrs_ag w/ n=16 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      23.87
8                      27.46
16                     30.53
32                     32.29
64                     33.95
